room_count,bathroom_count,size,price,log_price,category_encoded,city_encoded,region_encoded,type_encoded
-1.0,-1.0,-1.0,100000.0,5.0,6,0,19,1
1.0,1.0,80.0,120.0,2.0791812460476247,0,0,137,0
4.0,2.0,120.0,200000.0,5.301029995663981,5,0,7,1
3.0,1.0,130.0,1400.0,3.146128035678238,0,0,107,0
3.0,2.0,138.0,295000.0,5.469822015978163,0,0,6,1
3.0,2.0,98.0,65000.0,4.812913356642856,4,0,7,1
3.0,1.0,90.0,470.0,2.672097857935717,5,0,137,0
1.0,1.0,85.0,950.0,2.977723605288848,0,0,137,0
-1.0,-1.0,-1.0,260000.0,5.414973347970818,6,0,161,1
2.0,1.0,110.0,115000.0,5.060697840353612,5,0,7,1
-1.0,-1.0,-1.0,43000.0,4.633468455579586,6,0,7,1
3.0,1.0,130.0,120.0,2.0791812460476247,0,0,7,0
-1.0,-1.0,-1.0,470000.0,5.672097857935717,6,0,6,1
-1.0,-1.0,-1.0,470000.0,5.672097857935717,6,0,6,1
1.0,1.0,72.0,160000.0,5.204119982655925,0,0,37,1
4.0,2.0,260.0,490000.0,5.690196080028514,5,0,5,1
2.0,1.0,62.0,109000.0,5.037426497940624,0,0,37,1
-1.0,-1.0,-1.0,650000.0,5.812913356642856,6,0,107,1
4.0,1.0,260.0,650000.0,5.812913356642856,5,0,137,1
-1.0,-1.0,-1.0,250000.0,5.3979400086720375,6,0,187,1
3.0,1.0,80.0,450.0,2.6532125137753435,0,0,19,0
3.0,1.0,85.0,150000.0,5.176091259055681,0,0,19,1
4.0,2.0,350.0,1700.0,3.230448921378274,5,0,7,0
4.0,2.0,300.0,800.0,2.903089986991944,5,0,7,0
1.0,1.0,40.0,300.0,2.4771212547196626,0,0,91,0
2.0,1.0,100.0,290.0,2.462397997898956,5,0,37,0
2.0,1.0,80.0,380.0,2.57978359661681,5,0,5,0
2.0,1.0,90.0,250.0,2.397940008672037,5,0,187,0
3.0,1.0,110.0,790.0,2.8976270912904414,0,0,137,0
2.0,1.0,100.0,400.0,2.6020599913279625,0,0,187,0
-1.0,-1.0,-1.0,2820150.0,6.450272208475314,6,0,187,1
2.0,1.0,90.0,900.0,2.9542425094393248,1,0,70,0
3.0,1.0,130.0,370.0,2.568201724066995,5,0,137,0
-1.0,-1.0,-1.0,800000.0,5.903089986991944,6,0,224,1
4.0,2.0,180.0,1200.0,3.0791812460476247,0,0,5,0
6.0,3.0,350.0,2850.0,3.45484486000851,5,0,5,0
2.0,1.0,52.0,85000.0,4.929418925714293,0,0,5,1
3.0,2.0,120.0,245000.0,5.389166084364533,0,0,5,1
-1.0,-1.0,-1.0,249000.0,5.396199347095736,6,0,5,1
-1.0,-1.0,-1.0,190000.0,5.278753600952829,6,0,5,1
3.0,2.0,153.0,339000.0,5.5301996982030825,0,0,5,1
2.0,1.0,115.0,168000.0,5.225309281725863,0,0,91,1
3.0,2.0,609.0,540000.0,5.732393759822968,5,0,5,1
3.0,2.0,161.0,370000.0,5.568201724066995,5,0,5,1
3.0,1.0,100.0,125000.0,5.096910013008056,0,0,187,1
2.0,1.0,70.0,230000.0,5.361727836017593,0,0,5,1
-1.0,-1.0,-1.0,230000.0,5.361727836017593,6,0,5,1
3.0,4.0,1078.0,1700000.0,6.230448921378274,5,0,5,1
1.0,1.0,60.0,160000.0,5.204119982655925,1,0,5,1
3.0,1.0,131.0,2500.0,3.397940008672037,1,0,91,0
3.0,2.0,125.0,210000.0,5.32221929473392,0,0,91,1
-1.0,-1.0,-1.0,120000.0,5.079181246047625,6,0,91,1
2.0,1.0,100.0,1600.0,3.204119982655925,1,0,91,0
3.0,2.0,400.0,650000.0,5.812913356642856,5,0,91,1
4.0,2.0,410.0,530000.0,5.724275869600789,5,0,91,1
2.0,1.0,65.0,600.0,2.7781512503836434,0,0,5,0
4.0,2.0,120.0,175000.0,5.243038048686294,5,0,91,1
3.0,2.0,150.0,550.0,2.740362689494244,0,0,19,0
-1.0,-1.0,-1.0,530000.0,5.724275869600789,6,0,107,1
3.0,1.0,80.0,800.0,2.903089986991944,0,0,70,0
2.0,1.0,60.0,650.0,2.812913356642856,0,0,70,0
4.0,2.0,157.0,441000.0,5.644438589467838,0,0,70,1
3.0,2.0,187.0,570000.0,5.755874855672492,0,0,137,1
1.0,1.0,57.0,145000.0,5.161368002234975,0,0,107,1
1.0,1.0,60.0,70.0,1.845098040014257,3,0,70,0
5.0,3.0,327.0,840000.0,5.924279286061882,5,0,137,1
3.0,1.0,155.0,465.0,2.667452952889954,5,0,161,0
2.0,1.0,95.0,90.0,1.954242509439325,0,0,7,0
2.0,1.0,95.0,90.0,1.954242509439325,0,0,7,0
1.0,1.0,750.0,650000.0,5.812913356642856,4,0,161,1
1.0,1.0,50.0,650.0,2.812913356642856,0,0,70,0
2.0,1.0,40.0,82000.0,4.913813852383717,4,0,137,1
1.0,1.0,80.0,90.0,1.954242509439325,0,0,137,0
-1.0,-1.0,-1.0,480000.0,5.681241237375588,6,0,37,1
3.0,1.0,130.0,650.0,2.812913356642856,0,0,161,0
3.0,1.0,105.0,750.0,2.8750612633917,0,0,91,0
2.0,2.0,126.0,330000.0,5.518513939877887,0,0,107,1
5.0,3.0,220.0,480000.0,5.681241237375588,5,0,91,1
3.0,1.0,150.0,650.0,2.812913356642856,0,0,137,0
3.0,2.0,163.0,340000.0,5.531478917042255,0,0,70,1
1.0,1.0,70.0,280.0,2.4471580313422194,0,0,7,0
2.0,1.0,90.0,750.0,2.8750612633917,0,0,5,0
4.0,1.0,100.0,530.0,2.724275869600789,5,0,91,0
-1.0,-1.0,-1.0,180000.0,5.2552725051033065,6,0,224,1
4.0,1.0,110.0,600.0,2.7781512503836434,0,0,5,0
2.0,1.0,105.0,220000.0,5.342422680822207,0,0,70,1
4.0,1.0,153.0,360000.0,5.556302500767287,0,0,5,1
3.0,2.0,200.0,2300.0,3.361727836017593,0,0,70,0
2.0,1.0,120.0,230000.0,5.361727836017593,0,0,107,1
2.0,1.0,160.0,800.0,2.903089986991944,4,0,137,0
2.0,2.0,140.0,1250.0,3.096910013008056,0,0,70,0
-1.0,-1.0,-1.0,200000.0,5.301029995663981,6,0,187,1
2.0,1.0,110.0,1100.0,3.041392685158225,0,0,70,0
-1.0,-1.0,-1.0,180000.0,5.2552725051033065,6,0,187,1
2.0,2.0,150.0,1500.0,3.1760912590556813,0,0,70,0
3.0,1.0,85.0,330.0,2.5185139398778875,0,0,187,0
5.0,4.0,380.0,760000.0,5.880813592280791,5,0,137,1
1.0,1.0,200.0,1400.0,3.146128035678238,4,0,137,0
3.0,2.0,135.0,900.0,2.9542425094393248,0,0,137,0
2.0,1.0,100.0,90000.0,4.954242509439325,0,0,19,1
3.0,2.0,140.0,290000.0,5.4623979978989565,0,0,137,1
3.0,2.0,130.0,1400.0,3.146128035678238,0,0,137,0
4.0,2.0,170.0,295000.0,5.469822015978163,0,0,70,1
3.0,1.0,76.0,120000.0,5.079181246047625,0,0,5,1
5.0,3.0,686.0,750000.0,5.8750612633917,5,0,5,1
3.0,1.0,160.0,310000.0,5.491361693834273,0,0,70,1
4.0,1.0,130.0,95000.0,4.977723605288848,0,0,19,1
-1.0,-1.0,-1.0,45000.0,4.653212513775344,6,0,7,1
1.0,1.0,66.0,650.0,2.812913356642856,0,0,107,0
1.0,1.0,36.0,400.0,2.6020599913279625,0,0,6,0
2.0,2.0,100.0,310000.0,5.491361693834273,0,0,137,1
-1.0,-1.0,-1.0,270000.0,5.431363764158987,6,0,161,1
5.0,2.0,350.0,310000.0,5.491361693834273,5,0,107,1
1.0,1.0,70.0,830.0,2.9190780923760737,0,0,107,0
2.0,1.0,72.0,160000.0,5.204119982655925,0,0,37,1
1.0,1.0,90.0,90.0,1.954242509439325,0,0,7,0
1.0,1.0,90.0,90.0,1.954242509439325,3,0,7,0
1.0,1.0,90.0,90.0,1.954242509439325,3,0,7,0
1.0,1.0,90.0,90.0,1.954242509439325,3,0,7,0
-1.0,-1.0,-1.0,470000.0,5.672097857935717,6,0,6,1
-1.0,-1.0,-1.0,190000.0,5.278753600952829,6,0,107,1
3.0,1.0,110.0,220000.0,5.342422680822207,0,0,19,1
-1.0,-1.0,-1.0,470000.0,5.672097857935717,6,0,6,1
2.0,1.0,80.0,580.0,2.7634279935629373,0,0,5,0
3.0,1.0,130.0,1400.0,3.146128035678238,0,0,107,0
-1.0,-1.0,-1.0,420000.0,5.623249290397901,6,0,187,1
2.0,1.0,100.0,230.0,2.361727836017593,0,0,19,0
-1.0,-1.0,-1.0,105000.0,5.021189299069938,6,0,187,1
1.0,1.0,60.0,650.0,2.812913356642856,0,0,107,0
3.0,1.0,170.0,350000.0,5.544068044350276,0,0,70,1
-1.0,-1.0,-1.0,350000.0,5.544068044350276,6,0,224,1
2.0,1.0,100.0,800.0,2.903089986991944,0,0,137,0
-1.0,-1.0,-1.0,650000.0,5.812913356642856,6,0,107,1
-1.0,-1.0,-1.0,700000.0,5.845098040014257,6,0,91,1
2.0,1.0,70.0,80.0,1.9030899869919435,3,0,70,0
-1.0,-1.0,-1.0,90000.0,4.954242509439325,6,0,187,1
3.0,1.0,100.0,700.0,2.845098040014257,0,0,19,0
-1.0,-1.0,-1.0,220000.0,5.342422680822207,6,0,187,1
3.0,3.0,190.0,2500.0,3.397940008672037,0,0,70,0
-1.0,-1.0,-1.0,150000.0,5.176091259055681,6,0,224,1
-1.0,-1.0,-1.0,625000.0,5.795880017344075,6,0,187,1
-1.0,-1.0,-1.0,250000.0,5.3979400086720375,6,0,187,1
5.0,1.0,240.0,280000.0,5.447158031342219,5,0,187,1
7.0,4.0,400.0,3000.0,3.4771212547196626,1,0,6,0
1.0,1.0,90.0,90.0,1.954242509439325,0,0,7,0
1.0,1.0,70.0,1350.0,3.130333768495006,0,0,137,0
2.0,1.0,100.0,850.0,2.929418925714293,0,0,137,0
2.0,1.0,120.0,280000.0,5.447158031342219,0,0,137,1
